time,Target_values,Target_predictions
2022-08-01 00:00:00,347.19957,441.1329905
2022-08-01 01:00:00,329.76866999999993,441.1329905
2022-08-01 02:00:00,318.52193,441.1329905
2022-08-01 03:00:00,312.05186,441.1329905
2022-08-01 04:00:00,311.7825,441.1329905
2022-08-01 05:00:00,316.66277,441.1329905
2022-08-01 06:00:00,316.91652,441.1329905
2022-08-01 07:00:00,351.08937000000003,441.1329905
2022-08-01 08:00:00,389.70019999999994,441.1329905
2022-08-01 09:00:00,416.14859,441.1329905
2022-08-01 10:00:00,441.7517500000001,441.1329905
2022-08-01 11:00:00,457.61149000000006,441.1329905
2022-08-01 12:00:00,468.5887000000001,441.1329905
2022-08-01 13:00:00,460.9470299999999,441.1329905
2022-08-01 14:00:00,450.86034,441.1329905
2022-08-01 15:00:00,443.73284,441.1329905
2022-08-01 16:00:00,433.87052,441.1329905
2022-08-01 17:00:00,431.91162,441.1329905
2022-08-01 18:00:00,459.65483,441.1329905
2022-08-01 19:00:00,468.90613,441.1329905
2022-08-01 20:00:00,452.09743,441.1329905
2022-08-01 21:00:00,420.69928,441.1329905
2022-08-01 22:00:00,390.07869,441.1329905
2022-08-01 23:00:00,362.21239,441.1329905
2022-08-02 00:00:00,396.14485,441.1329905
2022-08-02 01:00:00,379.47604,441.1329905
2022-08-02 02:00:00,372.9221,441.1329905
2022-08-02 03:00:00,360.98546,441.1329905
2022-08-02 04:00:00,373.57971,441.1329905
2022-08-02 05:00:00,388.34880000000004,441.1329905
2022-08-02 06:00:00,402.84425999999996,441.1329905
2022-08-02 07:00:00,435.52839,441.1329905
2022-08-02 08:00:00,482.59177,441.1329905
2022-08-02 09:00:00,527.63507,441.1329905
2022-08-02 10:00:00,556.55798,441.1329905
2022-08-02 11:00:00,579.00571,441.1329905
2022-08-02 12:00:00,580.71708,441.1329905
2022-08-02 13:00:00,572.4207,441.1329905
2022-08-02 14:00:00,565.47803,441.1329905
2022-08-02 15:00:00,559.47483,441.1329905
2022-08-02 16:00:00,550.66926,441.1329905
2022-08-02 17:00:00,523.83265,441.1329905
2022-08-02 18:00:00,536.60118,441.1329905
2022-08-02 19:00:00,536.83719,441.1329905
2022-08-02 20:00:00,531.69849,441.1329905
2022-08-02 21:00:00,490.34905,441.1329905
2022-08-02 22:00:00,449.08585000000005,441.1329905
2022-08-02 23:00:00,405.66037,441.1329905
2022-08-03 00:00:00,383.18904,441.1329905
2022-08-03 01:00:00,368.22684,441.1329905
2022-08-03 02:00:00,359.10245,441.1329905
2022-08-03 03:00:00,358.7665,441.1329905
2022-08-03 04:00:00,362.92021,441.1329905
2022-08-03 05:00:00,391.12370000000004,441.1329905
2022-08-03 06:00:00,404.9313,441.1329905
2022-08-03 07:00:00,444.36068,441.1329905
2022-08-03 08:00:00,481.49325,441.1329905
2022-08-03 09:00:00,507.59266,441.1329905
2022-08-03 10:00:00,539.96197,441.1329905
2022-08-03 11:00:00,565.44051,441.1329905
2022-08-03 12:00:00,566.89388,441.1329905
2022-08-03 13:00:00,566.21838,441.1329905
2022-08-03 14:00:00,583.7236,441.1329905
2022-08-03 15:00:00,597.71815,441.1329905
2022-08-03 16:00:00,600.50427,441.1329905
2022-08-03 17:00:00,553.53258,441.1329905
2022-08-03 18:00:00,546.02646,441.1329905
2022-08-03 19:00:00,555.87032,441.1329905
2022-08-03 20:00:00,531.80671,441.1329905
2022-08-03 21:00:00,495.57196,441.1329905
2022-08-03 22:00:00,457.03049999999996,441.1329905
2022-08-03 23:00:00,411.06519,441.1329905
2022-08-04 00:00:00,390.81354,441.1329905
2022-08-04 01:00:00,378.16238,441.1329905
2022-08-04 02:00:00,366.40387,441.1329905
2022-08-04 03:00:00,365.45313,441.1329905
2022-08-04 04:00:00,369.50047000000006,441.1329905
2022-08-04 05:00:00,393.27126000000004,441.1329905
2022-08-04 06:00:00,408.32603,441.1329905
2022-08-04 07:00:00,458.968,441.1329905
2022-08-04 08:00:00,511.67312,441.1329905
2022-08-04 09:00:00,538.71218,441.1329905
2022-08-04 10:00:00,573.40241,441.1329905
2022-08-04 11:00:00,589.54625,441.1329905
