UCP,Variable,FECHA,TIPO_DIA,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,Total,PO19,PO20,PO21
MC-Cali,OFI,2022-09-03,SABADO,404.06047877,384.35758749,374.06900852,366.59290231,367.40350375,371.21398055,379.06036953,409.44901899,455.39621932,489.30428662,518.84943287,533.94452809,536.64754982,525.15004895,509.82488032,502.55572997,494.68599607,484.1819396,510.32991424,519.74111061,499.39272453,465.09606164,434.80794114,405.8847863,10942.0,537.0,533.0,531.0
MC-Cali,OFI,2022-09-04,DOMINGO,374.3758088,353.80195228,341.41733121,330.77875339,328.05851157,324.61788828,309.32280885,322.48736829,350.15963711,374.9854959,396.14075886,416.05393787,430.71024586,429.24089225,422.1894791,417.64987102,414.29911747,412.99318424,444.68212318,463.29059055,456.38087237,445.0069077,423.07476679,392.28169707,9374.00000001,462.0,466.0,458.0
MC-Cali,OFI,2022-09-05,LUNES,379.1640147913,360.3676016655,350.2629561132,346.5014214674,352.7767599218,370.2236876888,389.4849874624,432.8319409135,488.2288319315,525.4740209503,555.9270136099,578.3540691462,585.7917034191,583.7715503825,586.5809599326,584.2142835914,568.7394610168,535.4669646235,542.9403308677,554.8379261484,535.4673580952,504.8570933981,464.3842383885,422.3508244732,11598.9999999988,557.0,565.0,547.0
MC-Cali,OFI,2022-09-06,MARTES,394.9605853,379.94010244,370.81491104,364.79365272,367.42457424,384.49621403,404.39737596,448.58885668,497.28632233,531.0424132,563.72685293,587.51843219,588.63312536,590.04304465,597.36540209,600.06301154,589.65228165,551.58830052,553.55306147,566.25901832,547.55262317,515.44576447,475.38131942,434.47275429,11905.00000001,562.0,585.0,565.0
MC-Cali,OFI,2022-09-07,MIERCOLES,406.98220231,389.730261,379.44788828,375.1859614,377.86334485,389.97609033,410.3222767,452.19959453,503.54416027,534.54138926,564.44601221,588.88803712,597.02586224,598.98240172,604.04746163,606.40515274,595.15758525,556.9172378,557.36547107,570.59336581,549.64135673,519.19497322,481.11386138,440.42805213,12049.99999998,574.0,573.0,562.0
MC-Cali,OFI,2022-09-08,JUEVES,398.76664919,378.4124017,369.39717026,363.66632625,367.37118706,380.23948117,397.34251731,442.19067586,494.18154313,526.88327821,555.56433198,581.00244357,581.29302285,579.13362968,584.81665078,587.16669036,579.64700027,544.72392609,545.10083996,554.65435626,537.99606154,507.55175522,468.76561358,429.13244773,11755.00000001,564.0,563.0,549.0
MC-Cali,OFI,2022-09-09,VIERNES,401.45812867,379.8330907,372.69561321,367.85154109,370.87258318,381.38603845,398.19432124,445.63534531,497.09201981,527.90472123,561.27017771,581.11571609,586.22575691,581.70854018,587.60953803,585.27061764,574.5400247,542.30678062,543.98891739,549.4932895,526.47674425,497.62177685,467.64539496,431.80332228,11760.0,562.0,557.0,535.0
MC-Cali,OFI,2022-09-10,SABADO,406.83003972,386.99209847,376.63299825,369.10564839,369.92180596,373.75840099,381.65857166,412.25551473,458.51765201,492.65813615,522.40579437,537.60435624,540.32590535,528.7495969,513.31938461,506.00040916,498.07673357,487.50067891,513.8278802,523.30358395,502.81572347,468.28398017,437.78825512,408.66685164,11016.99999999,541.0,536.0,535.0
MC-Cali,OFI,2022-09-11,DOMINGO,382.32340704,361.31278954,348.6652562,337.80083275,335.02284311,331.50917906,315.88940144,329.33343041,357.59315192,382.94603715,404.55040373,424.88631825,439.85376399,438.35321757,431.15211045,426.51613135,423.09424489,421.76058809,454.12224933,473.12575457,466.06935046,454.45392867,432.05619186,400.60941819,9573.00000002,472.0,476.0,468.0
MC-Cali,OFI,2022-09-12,LUNES,385.9307146,366.7988538,356.51387705,352.68521268,359.07254312,376.83083515,396.43587913,440.55641818,496.94194239,534.85182269,565.8482906,588.67558758,596.2459566,594.18975117,597.04929847,594.64038556,578.88939363,545.02310409,552.62984276,564.73976689,545.02350458,513.8669579,472.6718095,429.8882519,11806.00000002,566.0,576.0,557.0
MC-Cali,OFI,2022-09-13,MARTES,403.78540812,388.4293143,379.1002337,372.94443909,375.63414473,393.08722561,413.43305022,458.61192564,508.39746569,542.90778757,576.32251382,600.6456815,601.78528087,603.22670276,610.71266769,613.47055132,602.82720873,563.91274302,565.92140371,578.91125678,559.7868943,526.9626543,486.00302718,444.18041936,12171.00000001,574.0,598.0,577.0
MC-Cali,OFI,2022-09-14,MIERCOLES,412.04837081,394.58167504,384.17130598,379.85632606,382.56703793,394.83056449,415.43002289,457.82863513,509.81234484,541.19543145,571.47231112,596.21859359,604.45771944,606.43861419,611.56672464,613.9537646,602.5661859,563.84981752,564.30363046,577.6961878,556.48336532,525.65798119,487.10283061,445.910559,12200.0,581.0,580.0,569.0
MC-Cali,OFI,2022-09-15,JUEVES,409.89344298,388.97125051,379.70446689,373.81371502,377.62195263,390.84931102,408.42957352,454.52913112,507.97070061,541.58491285,571.06625464,597.21416637,597.51285369,595.29320692,601.13480148,603.55041426,595.8209021,559.92336869,560.3107996,570.13088785,553.0077764,521.71398199,481.84558986,441.106539,12083.0,580.0,579.0,564.0
MC-Cali,OFI,2022-09-16,VIERNES,408.59288623,386.58352573,379.31920021,374.38903872,377.4637711,388.16407263,405.27107406,453.55522517,505.92639329,537.28670139,571.2451324,591.44336785,596.64422487,592.04672767,598.0525987,595.67211076,584.75081255,551.94471575,553.65674764,559.25894405,535.83334626,506.46556523,475.95643982,439.47737792,11969.0,572.0,567.0,545.0
MC-Cali,OFI,2022-09-17,SABADO,408.89797856,388.95919999,378.54744391,370.98183214,371.80213828,375.65823493,383.59856259,414.35103155,460.84832175,495.16234379,525.06121095,540.33702792,543.07241081,531.43725937,515.92861449,508.5724363,500.60848424,489.97867092,516.43969479,525.96356404,505.37156267,470.66429268,440.01355622,410.7441271,11072.99999999,544.0,539.0,537.0
MC-Cali,OFI,2022-09-18,DOMINGO,374.3758088,353.80195228,341.41733121,330.77875339,328.05851157,324.61788828,309.32280885,322.48736829,350.15963711,374.9854959,396.14075886,416.05393787,430.71024586,429.24089225,422.1894791,417.64987102,414.29911747,412.99318424,444.68212318,463.29059055,456.38087237,445.0069077,423.07476679,392.28169707,9374.00000001,462.0,466.0,458.0
MC-Cali,OFI,2022-09-19,LUNES,384.8192759827,365.7425128724,355.4871557345,351.6695175027,358.0384531252,375.7456031962,395.2941867754,439.2876634566,495.5108034743,533.3115074254,564.2187088728,586.9802657117,594.5288328864,592.4785491079,595.3298612231,592.9278857176,577.2222549435,543.4534966417,551.038328733,563.1133775859,543.4538959821,512.3870767723,471.3105659376,428.6502203378,11771.9999999988,565.0,574.0,555.0
MC-Cali,OFI,2022-09-20,MARTES,397.78054748,382.65282051,373.46247655,367.39822731,370.04793323,387.24146209,407.28471548,451.79171706,500.83687566,534.8339802,567.75178216,591.7132299,592.83588182,594.25586773,601.63050576,604.34737575,593.86231474,555.52656222,557.50535129,570.30202685,551.46207071,519.12597363,478.77547416,437.57482771,11990.0,566.0,589.0,569.0
MC-Cali,OFI,2022-09-21,MIERCOLES,402.99681643,385.91381529,375.73213303,371.5119412,374.16310628,386.15723733,406.30418304,447.77141593,498.61318841,529.30687607,558.91865707,583.12133269,591.1794679,593.11684791,598.13230806,600.46691141,589.32948608,551.46360842,551.90745235,565.00581252,544.25897664,514.11074029,476.40253892,436.11514672,11931.99999999,568.0,567.0,556.0
MC-Cali,OFI,2022-09-22,JUEVES,377.76821824,358.48579373,349.94529035,344.51622366,348.02599226,360.21666204,376.41907893,418.90560326,468.15871241,499.13842502,526.30917915,550.40775939,550.68303722,548.63735433,554.02111639,556.24740654,549.12369162,516.03961216,516.39667834,525.44712133,509.66602649,480.82486994,444.08114613,406.5350011,11136.00000003,534.0,533.0,520.0
MC-Cali,OFI,2022-09-23,VIERNES,386.36931125,365.55705106,358.68783591,354.02582841,356.93332453,367.05163122,383.22817414,428.8861257,478.40879934,508.06340432,540.17481899,559.27446214,564.1924419,559.84500491,565.52421356,563.27320157,552.94591833,521.92416182,523.54307543,528.84056553,506.68909791,478.91864544,450.06892689,415.57397972,11318.00000002,541.0,536.0,515.0
MC-Cali,OFI,2022-09-24,SABADO,400.36773084,380.8449062,370.65035554,363.24257419,364.04576747,367.82141995,375.59610002,405.70702466,451.23430908,484.83248726,514.10761755,529.06475722,531.74307577,520.35065169,505.16554125,497.96282438,490.16501274,479.75695386,505.66595962,514.99114615,494.82872596,460.84550359,430.83418916,402.17536584,10841.99999999,532.0,528.0,526.0
MC-Cali,OFI,2022-09-25,DOMINGO,362.9935701,343.04522554,331.03713712,320.72200657,318.08446892,314.74845173,299.91839232,312.68270646,339.51364857,363.58472074,384.0967951,403.40454889,417.61525759,416.19057709,409.35354977,404.9519605,401.70308072,400.4368521,431.16234452,449.20505414,442.50541381,431.47725454,410.21192184,380.35506131,9088.99999999,448.0,452.0,444.0
