UCP,Variable,FECHA,TIPO_DIA,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,Total,PO19,PO20,PO21
MC-Cali,Demanda_Real,2022-10-19,MIERCOLES,383.34592,369.00845,365.19611,363.47025,373.25842,398.11508,410.08135,456.05583,507.22535,535.26333,568.43444,589.14567,592.4996,588.89486,594.93973,590.34085,585.14064,547.28457,566.77532,561.49372,528.79423,489.20169,443.0465,409.28066,11816.29257,566.0,563.0,546.0
MC-Cali,Demanda_Real,2022-10-20,JUEVES,381.13117,362.62654,355.02907,350.778,360.26477,384.25288,402.78938,446.61582,492.18388,517.76285,549.34721,571.48777,560.83373,566.64794,578.00527,587.64559,580.69275,551.51707,564.99204,557.41913,521.98137,491.14739,445.76839,414.18733,11595.10734,570.0,562.0,548.0
MC-Cali,Demanda_Real,2022-10-21,VIERNES,385.44873,370.34244,362.28495,358.61809,364.28008,383.03617,404.40779,450.49552,498.39917,527.65376,562.4764,579.01187,574.59514,580.391,584.82771,589.72994,578.11538,547.98517,565.40484,551.9616,532.34203,497.56488,459.98398,418.14252,11727.49916,565.0,557.0,540.0
MC-Cali,Demanda_Real,2022-10-22,SABADO,398.47259,377.76123,364.64537,362.87377,364.12435,371.28263,382.04533,427.13879,464.24906,481.32576,504.05642,524.56062,521.71709,505.04339,497.17583,498.78134,493.46681,486.47288,514.78565,511.03733,486.11221,450.70452,413.03686,382.29133,10783.16116,509.0,507.0,489.0
MC-Cali,Demanda_Real,2022-10-23,DOMINGO,361.54917,343.81262,334.1298,321.78568,299.66674,295.09577,280.0292,304.03324,328.83169,357.46482,381.71779,399.2565,419.05721,434.26267,423.49537,406.80277,401.50233,404.31322,445.67816,448.7063,440.44168,423.11506,408.28241,382.89929,9045.92949,460.0,460.0,454.0
MC-Cali,Demanda_Real,2022-10-24,LUNES,367.45565,354.41225,342.78084,329.44686,341.41265,372.51046,389.90774,427.39177,474.13747,501.77065,527.73308,559.0704,553.90873,551.49822,545.92848,557.31258,547.27275,522.60304,546.68817,541.06876,518.33316,484.83874,431.28494,395.39874,11184.16613,554.0,549.0,532.0
MC-Cali,Demanda_Real,2022-10-25,MARTES,372.23359,364.44624,354.42474,353.56901,358.19291,381.07481,398.17117,445.96911,490.48528,526.9716,553.67225,568.63422,568.5655,568.23837,584.38489,595.88717,590.73463,549.91937,564.58477,557.32867,534.34477,501.02595,453.79159,412.87725,11649.52786,568.0,560.0,549.0
MC-Cali,Demanda_Real,2022-10-26,MIERCOLES,390.19921,373.15627,362.16982,362.46859,363.18729,390.29354,410.5487,454.80425,491.90141,502.05701,532.24156,552.25949,540.96728,533.19452,531.55345,534.58978,527.93352,520.00225,536.15598,525.70813,504.46138,467.661,415.98213,386.07447,11209.57103,542.0,538.0,524.0
MC-Cali,Demanda_Real,2022-10-27,JUEVES,365.66107,345.05396,337.60097,335.34552,350.63107,372.51701,396.96067,434.54246,476.08495,511.99746,540.8256,570.88237,567.21617,568.25231,581.40831,585.23787,577.04743,547.29265,568.70948,555.0035,529.31181,494.16576,450.69168,407.53779,11469.97787,573.0,567.0,542.0
MC-Cali,Demanda_Real,2022-10-28,VIERNES,386.43992,366.05762,360.7994,355.06499,363.17262,385.35827,402.34214,439.02651,470.35682,512.04743,537.68875,562.3155,557.30573,552.89812,556.49354,555.9362,549.79508,537.26626,548.86633,538.24305,510.974,474.3213,433.05038,402.78679,11358.60675,554.0,547.0,529.0
MC-Cali,Demanda_Real,2022-10-29,SABADO,375.37284,363.27826,350.31865,346.514,345.23948,352.82163,362.87837,394.85089,438.28612,476.09361,509.68371,524.11165,513.01029,496.49422,473.8695,464.4033,459.91019,465.14953,502.78945,488.98262,479.51772,444.78389,406.69801,379.87986,10414.93779,508.0,505.0,487.0
MC-Cali,Demanda_Real,2022-10-30,DOMINGO,351.01002,340.46059,324.77734,307.2095,297.73903,287.5325,281.53811,303.90456,334.7661,367.87338,394.86457,409.31824,416.33975,416.94327,409.28056,402.27368,398.77661,402.21424,443.92934,443.4278,434.22154,416.97305,401.61757,370.76031,8957.75166,457.0,457.0,449.0
MC-Cali,Demanda_Real,2022-10-31,LUNES,354.41558,339.73377,326.60648,331.21146,335.865,354.89272,379.30765,432.34308,475.01241,500.48115,537.59535,576.72258,571.32468,571.00271,586.62513,579.40098,566.50869,524.88046,536.556,519.46555,496.23398,471.33795,438.57058,401.66705,11207.76099,550.0,533.0,512.0
MC-Cali,Demanda_Real,2022-09-01,JUEVES,392.69132,378.56054,375.09115,368.40789,365.0396,390.04563,407.19203,456.12409,491.59343,533.81249,568.67763,593.2397,599.44287,599.14756,610.90785,615.36492,595.57997,549.55423,561.38291,560.59418,541.21461,501.56831,458.32184,421.18097,11934.73572,552.0,552.0,537.0
MC-Cali,Demanda_Real,2022-09-02,VIERNES,393.15439,382.88394,370.36378,368.71524,370.7224,393.6971,413.58155,459.13309,511.00879,534.76978,573.60543,585.40985,579.16262,575.6288,589.638,594.22643,592.42052,561.40904,564.17193,562.35177,537.22813,505.48281,461.95405,433.46572,11914.18516,557.0,552.0,539.0
